,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,class
25, Private,205939, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,38, United-States, <=50K
26, Private,282964, Some-college,10, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
27, Private,426001, HS-grad,9, Married-spouse-absent, Adm-clerical, Unmarried, White, Female,0,0,20, Puerto-Rico, <=50K
28, Private,433592, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, Black, Male,0,0,45, United-States, >50K
29, Local-gov,197897, HS-grad,9, Never-married, Adm-clerical, Own-child, Black, Female,0,0,20, England, <=50K
30, Private,325921, Assoc-voc,11, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,36, United-States, <=50K
31, ?,199177, HS-grad,9, Never-married, ?, Not-in-family, White, Female,0,0,40, United-States, <=50K
32, Private,221043, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,35, United-States, <=50K
33, Private,221762, Some-college,10, Never-married, Prof-specialty, Not-in-family, Black, Male,0,0,40, United-States, <=50K
34, Private,122493, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
35, Private,94342, Bachelors,13, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,55, United-States, <=50K
36, Private,149875, Bachelors,13, Widowed, Exec-managerial, Not-in-family, White, Female,0,0,40, United-States, <=50K
37, Private,190916, HS-grad,9, Never-married, Other-service, Own-child, White, Female,0,1721,20, United-States, <=50K
38, Self-emp-not-inc,193689, HS-grad,9, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,65, United-States, <=50K
39, Private,186815, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, <=50K
40, Private,216134, Some-college,10, Never-married, Sales, Own-child, Black, Female,0,0,40, United-States, <=50K
41, Private,174503, HS-grad,9, Divorced, Craft-repair, Not-in-family, White, Female,0,0,40, United-States, <=50K
42, Local-gov,240166, 11th,7, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,35, United-States, <=50K
43, Private,113959, HS-grad,9, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,45, United-States, >50K
44, Private,111567, HS-grad,9, Never-married, Craft-repair, Own-child, White, Male,0,0,48, United-States, <=50K
45, ?,41356, Assoc-voc,11, Never-married, ?, Not-in-family, White, Female,0,0,40, United-States, <=50K
46, Private,32365, Some-college,10, Never-married, Protective-serv, Not-in-family, White, Male,0,0,40, United-States, <=50K
47, ?,218948, 7th-8th,4, Never-married, ?, Not-in-family, White, Female,0,0,32, Mexico, <=50K
48, Private,191291, Some-college,10, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
49, Self-emp-not-inc,172047, Assoc-acdm,12, Never-married, Craft-repair, Own-child, White, Male,0,0,40, United-States, <=50K
50, Private,312667, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, <=50K
51, Private,187570, HS-grad,9, Never-married, Craft-repair, Own-child, White, Male,0,0,20, United-States, <=50K
52, Self-emp-inc,200220, HS-grad,9, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,55, United-States, <=50K
53, Private,54363, Assoc-acdm,12, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States, >50K
54, Private,213041, HS-grad,9, Never-married, Adm-clerical, Own-child, White, Female,0,0,40, Cuba, <=50K
55, Private,121352, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,80, ?, >50K
56, Private,190786, Assoc-voc,11, Married-civ-spouse, Adm-clerical, Husband, White, Male,7298,0,40, United-States, >50K
57, Private,340458, 12th,8, Never-married, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, <=50K
58, Private,200318, Assoc-acdm,12, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,15, United-States, <=50K
59, Private,277695, 9th,5, Never-married, Farming-fishing, Other-relative, White, Male,0,0,16, Mexico, <=50K
60, Private,312403, Bachelors,13, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,40, United-States, <=50K
61, Self-emp-not-inc,178353, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States, >50K
62, Local-gov,89491, Masters,14, Divorced, Exec-managerial, Not-in-family, White, Female,0,0,40, United-States, <=50K
63, Private,98975, Bachelors,13, Never-married, Sales, Not-in-family, White, Female,8614,0,50, United-States, >50K
64, Self-emp-not-inc,198068, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
65, Local-gov,144940, Masters,14, Divorced, Prof-specialty, Unmarried, Black, Female,0,0,40, United-States, <=50K
66, Private,153155, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,15024,0,40, United-States, >50K
67, Private,115963, 7th-8th,4, Never-married, Machine-op-inspct, Unmarried, White, Male,0,0,42, United-States, <=50K
68, Self-emp-not-inc,221626, HS-grad,9, Married-civ-spouse, Other-service, Wife, White, Female,0,1579,20, United-States, <=50K
69, Private,276289, Bachelors,13, Never-married, Prof-specialty, Not-in-family, Black, Male,0,0,60, ?, <=50K
70, Private,127865, Bachelors,13, Never-married, Prof-specialty, Not-in-family, White, Female,4650,0,25, United-States, <=50K
71, Local-gov,106179, Bachelors,13, Married-spouse-absent, Prof-specialty, Not-in-family, White, Female,0,0,50, United-States, <=50K
72, Private,313170, HS-grad,9, Widowed, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
73, Federal-gov,227836, Some-college,10, Divorced, Farming-fishing, Not-in-family, White, Male,0,0,40, United-States, <=50K
74, Private,249727, HS-grad,9, Never-married, Other-service, Own-child, White, Male,0,0,22, United-States, <=50K
75, ?,114761, 7th-8th,4, Widowed, ?, Unmarried, White, Female,0,0,20, United-States, <=50K
76, Private,202989, HS-grad,9, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,40, Canada, <=50K
77, Private,151159, HS-grad,9, Divorced, Machine-op-inspct, Not-in-family, White, Male,0,0,40, United-States, <=50K
78, Self-emp-not-inc,204645, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White, Male,9386,0,72, United-States, >50K
79, Private,97963, HS-grad,9, Never-married, Other-service, Own-child, White, Female,0,0,30, United-States, <=50K
80, Federal-gov,117022, Assoc-voc,11, Divorced, Handlers-cleaners, Unmarried, Black, Male,0,1726,40, United-States, <=50K
81, Local-gov,159816, Masters,14, Married-civ-spouse, Prof-specialty, Wife, White, Female,0,1977,35, United-States, >50K
82, Federal-gov,104236, Assoc-acdm,12, Divorced, Adm-clerical, Unmarried, White, Female,1471,0,40, United-States, <=50K
83, Private,203776, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male,7688,0,45, United-States, >50K
84, Private,283760, Bachelors,13, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,40, United-States, <=50K
85, State-gov,165827, Doctorate,16, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,55, United-States, <=50K
86, Private,170230, Bachelors,13, Married-spouse-absent, Other-service, Not-in-family, White, Female,0,0,40, ?, <=50K
87, Private,104501, Masters,14, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
88, Private,227332, Bachelors,13, Never-married, Prof-specialty, Own-child, White, Male,0,0,40, United-States, <=50K
89, Private,86808, Some-college,10, Never-married, Other-service, Own-child, White, Female,0,0,38, United-States, <=50K
90, Private,119039, Some-college,10, Never-married, Adm-clerical, Own-child, White, Female,0,0,18, United-States, <=50K
91, Private,139180, 11th,7, Never-married, Other-service, Unmarried, Black, Female,0,0,40, United-States, <=50K
92, Private,32552, Bachelors,13, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,4, United-States, <=50K
93, Private,104045, Bachelors,13, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,40, United-States, <=50K
94, ?,77937, 12th,8, Divorced, ?, Not-in-family, White, Female,0,0,40, Canada, <=50K
95, Self-emp-not-inc,208577, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,45, United-States, >50K
96, Private,227210, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,9386,0,40, United-States, >50K
97, Private,178421, Bachelors,13, Never-married, Other-service, Not-in-family, White, Female,0,0,20, United-States, <=50K
98, Private,23074, Some-college,10, Widowed, Exec-managerial, Not-in-family, White, Female,0,0,40, United-States, >50K
99, Private,481987, HS-grad,9, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, United-States, >50K
100, Private,198830, 11th,7, Never-married, Adm-clerical, Other-relative, White, Female,0,0,10, United-States, <=50K
101, Private,169699, HS-grad,9, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
102, Private,185847, HS-grad,9, Divorced, Transport-moving, Not-in-family, White, Male,0,0,54, United-States, <=50K
103, Private,172032, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, <=50K
104, Self-emp-not-inc,111625, HS-grad,9, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, <=50K
105, Private,136610, 12th,8, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,32, United-States, <=50K
106, Private,162034, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male,0,0,60, United-States, >50K
107, Private,125279, HS-grad,9, Divorced, Craft-repair, Unmarried, White, Male,0,0,99, United-States, <=50K
108, ?,139051, 11th,7, Separated, ?, Unmarried, Black, Female,0,0,53, United-States, <=50K
109, Private,215115, Bachelors,13, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
110, Private,197836, HS-grad,9, Married-civ-spouse, Sales, Husband, White, Male,0,0,45, United-States, <=50K
111, Local-gov,101563, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, <=50K
112, State-gov,98989, HS-grad,9, Married-civ-spouse, Other-service, Husband, Amer-Indian-Eskimo, Male,0,0,40, United-States, <=50K
113, Private,102726, 12th,8, Never-married, Other-service, Own-child, White, Male,0,0,16, United-States, <=50K
114, ?,255117, Some-college,10, Never-married, ?, Not-in-family, White, Female,0,0,30, United-States, <=50K
115, Private,213668, Some-college,10, Separated, Machine-op-inspct, Not-in-family, White, Male,8614,0,65, United-States, >50K
116, ?,393376, 11th,7, Never-married, ?, Not-in-family, White, Female,0,0,40, United-States, <=50K
117, Private,224531, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,7298,0,40, United-States, >50K
118, Private,463194, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
119, Private,120461, Some-college,10, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,50, United-States, <=50K
120, Private,57711, HS-grad,9, Never-married, Priv-house-serv, Not-in-family, White, Female,0,0,40, United-States, <=50K
121, Private,159187, Some-college,10, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,54, United-States, >50K
122, Private,113301, 11th,7, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,12, ?, <=50K
123, Private,201240, HS-grad,9, Never-married, Adm-clerical, Other-relative, White, Female,0,0,40, United-States, <=50K
124, Private,121441, Some-college,10, Married-civ-spouse, Sales, Husband, White, Male,0,0,55, United-States, <=50K
125, Private,119272, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,55, United-States, >50K
126, Private,137815, 9th,5, Divorced, Transport-moving, Not-in-family, White, Male,0,0,40, United-States, <=50K
127, Private,86143, Assoc-voc,11, Married-civ-spouse, Handlers-cleaners, Own-child, Asian-Pac-Islander, Male,0,0,40, Philippines, <=50K
128, Private,117363, Some-college,10, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,35, United-States, <=50K
129, Private,182703, Masters,14, Divorced, Adm-clerical, Not-in-family, Amer-Indian-Eskimo, Female,0,0,36, United-States, <=50K
130, Private,267458, Assoc-acdm,12, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,40, United-States, <=50K
131, Private,279538, 11th,7, Married-civ-spouse, Handlers-cleaners, Other-relative, White, Male,2961,0,35, United-States, <=50K
132, Private,214129, Some-college,10, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
133, Private,164991, HS-grad,9, Divorced, Sales, Unmarried, Amer-Indian-Eskimo, Female,0,0,38, United-States, <=50K
134, Self-emp-not-inc,505365, Some-college,10, Married-civ-spouse, Sales, Husband, White, Male,6514,0,45, United-States, >50K
135, Federal-gov,43280, Some-college,10, Never-married, Exec-managerial, Own-child, Black, Female,0,0,40, United-States, <=50K
136, Private,95465, Some-college,10, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,55, United-States, <=50K
137, Private,230467, Bachelors,13, Never-married, Sales, Own-child, White, Male,0,1092,40, Germany, <=50K
138, Private,107914, Bachelors,13, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,47, United-States, >50K
139, Private,182117, Bachelors,13, Never-married, Adm-clerical, Own-child, White, Male,0,0,28, United-States, <=50K
140, Self-emp-not-inc,107231, Doctorate,16, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,35, United-States, >50K
141, Private,116800, Assoc-acdm,12, Never-married, Protective-serv, Own-child, White, Male,0,0,60, United-States, <=50K
142, ?,403910, HS-grad,9, Never-married, ?, Not-in-family, White, Male,0,0,3, United-States, <=50K
143, Private,202683, Bachelors,13, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,40, United-States, <=50K
144, Self-emp-inc,250674, Assoc-voc,11, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,60, United-States, <=50K
145, Self-emp-not-inc,265007, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, Ecuador, <=50K
146, Private,93639, Bachelors,13, Married-civ-spouse, Exec-managerial, Wife, White, Female,0,0,43, United-States, <=50K
147, Without-pay,334291, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
148, Private,275385, Some-college,10, Never-married, Other-service, Other-relative, White, Male,0,0,25, United-States, <=50K
149, Self-emp-not-inc,158712, HS-grad,9, Never-married, Other-service, Unmarried, White, Female,0,0,6, United-States, <=50K
150, Federal-gov,70240, Some-college,10, Divorced, Exec-managerial, Unmarried, Asian-Pac-Islander, Female,0,0,40, United-States, <=50K
151, Federal-gov,175428, Some-college,10, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,40, United-States, >50K
152, Local-gov,344855, Masters,14, Married-civ-spouse, Prof-specialty, Wife, White, Female,0,1977,20, United-States, >50K
153, Private,318982, Bachelors,13, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,38, United-States, <=50K
154, Private,311124, Prof-school,15, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,20, United-States, <=50K
155, Private,171351, HS-grad,9, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, United-States, <=50K
156, Self-emp-not-inc,146735, Doctorate,16, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,50, United-States, >50K
157, Private,337494, Assoc-acdm,12, Never-married, Machine-op-inspct, Not-in-family, White, Male,0,0,48, United-States, <=50K
158, Private,102569, Masters,14, Married-civ-spouse, Exec-managerial, Husband, White, Male,15024,0,65, United-States, >50K
159, Private,148345, 11th,7, Never-married, Protective-serv, Own-child, White, Female,0,0,40, United-States, <=50K
160, Private,178841, Bachelors,13, Married-civ-spouse, Exec-managerial, Wife, White, Female,0,0,40, United-States, >50K
161, Private,391874, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
162, Private,192704, 12th,8, Never-married, Exec-managerial, Not-in-family, White, Male,4650,0,50, United-States, <=50K
163, Local-gov,202984, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,3137,0,40, United-States, <=50K
164, Self-emp-inc,184245, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, Mexico, >50K
165, Private,242619, Bachelors,13, Never-married, Prof-specialty, Not-in-family, White, Male,4650,0,40, United-States, <=50K
166, Private,128230, HS-grad,9, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,30, United-States, <=50K
167, Private,293628, Some-college,10, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,50, Philippines, >50K
168, Local-gov,198028, Some-college,10, Married-civ-spouse, Adm-clerical, Wife, White, Female,0,0,40, United-States, >50K
169, Private,106615, Assoc-acdm,12, Never-married, Prof-specialty, Own-child, White, Female,2176,0,25, United-States, <=50K
170, Private,311570, Assoc-acdm,12, Never-married, Tech-support, Own-child, White, Female,0,0,35, United-States, <=50K
171, ?,175431, Some-college,10, Never-married, ?, Own-child, White, Male,0,0,40, United-States, <=50K
172, ?,189203, Assoc-acdm,12, Never-married, ?, Not-in-family, White, Male,0,0,40, United-States, <=50K
173, Private,94662, Assoc-voc,11, Never-married, Craft-repair, Not-in-family, White, Male,0,0,44, United-States, <=50K
174, Local-gov,161240, HS-grad,9, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,45, United-States, >50K
175, Private,230238, HS-grad,9, Never-married, Transport-moving, Own-child, White, Male,0,0,46, United-States, <=50K
176, Private,89991, Some-college,10, Never-married, Sales, Other-relative, White, Female,0,0,35, United-States, <=50K
177, Private,112403, Some-college,10, Never-married, Handlers-cleaners, Not-in-family, White, Male,0,0,35, United-States, <=50K
178, Self-emp-inc,242138, Bachelors,13, Never-married, Sales, Own-child, White, Female,0,0,20, United-States, <=50K
179, Private,377754, HS-grad,9, Never-married, Machine-op-inspct, Not-in-family, White, Male,0,0,40, United-States, <=50K
180, Self-emp-not-inc,136224, Masters,14, Divorced, Prof-specialty, Not-in-family, White, Female,0,0,30, United-States, <=50K
181, ?,168471, Some-college,10, Never-married, ?, Own-child, White, Male,0,0,15, United-States, <=50K
182, Self-emp-not-inc,260696, Masters,14, Divorced, Prof-specialty, Not-in-family, White, Female,0,0,20, United-States, <=50K
183, Local-gov,115763, Masters,14, Married-civ-spouse, Prof-specialty, Wife, White, Female,0,0,40, United-States, >50K
184, Self-emp-not-inc,175943, Assoc-voc,11, Married-civ-spouse, Prof-specialty, Wife, White, Female,0,1977,15, United-States, >50K
185, Private,105141, Some-college,10, Divorced, Adm-clerical, Own-child, White, Male,0,0,40, United-States, <=50K
186, Private,211355, HS-grad,9, Never-married, Adm-clerical, Own-child, White, Male,0,0,12, United-States, <=50K
187, Self-emp-not-inc,148599, Masters,14, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, United-States, >50K
188, Private,338162, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Wife, Black, Female,0,0,40, United-States, <=50K
189, Private,199480, 10th,6, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,25, United-States, <=50K
190, Private,146540, 11th,7, Never-married, Craft-repair, Not-in-family, White, Male,0,0,50, United-States, <=50K
191, Self-emp-not-inc,321865, Some-college,10, Married-civ-spouse, Other-service, Husband, White, Male,0,0,99, United-States, <=50K
192, ?,330301, 7th-8th,4, Separated, ?, Unmarried, Black, Female,0,0,40, United-States, <=50K
193, Private,255454, 7th-8th,4, Married-civ-spouse, Machine-op-inspct, Husband, Black, Male,7298,0,35, Haiti, >50K
194, Private,161558, 10th,6, Married-spouse-absent, Transport-moving, Not-in-family, Black, Male,0,0,45, United-States, <=50K
195, Self-emp-not-inc,52900, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,42, United-States, >50K
196, Local-gov,375675, 12th,8, Married-civ-spouse, Other-service, Husband, White, Male,0,0,35, United-States, >50K
197, Self-emp-not-inc,212847, HS-grad,9, Never-married, Farming-fishing, Own-child, White, Male,0,0,85, United-States, <=50K
198, Private,286469, Some-college,10, Never-married, Sales, Own-child, White, Female,0,0,30, United-States, <=50K
199, Private,110747, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,1887,40, United-States, >50K
200, Private,166330, HS-grad,9, Married-civ-spouse, Other-service, Wife, White, Female,99999,0,40, United-States, >50K
201, Local-gov,109526, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,38, United-States, <=50K
202, State-gov,102308, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
203, Private,186849, 11th,7, Divorced, Sales, Own-child, White, Male,0,0,50, United-States, <=50K
204, Private,210364, 11th,7, Never-married, Other-service, Own-child, White, Male,0,0,20, United-States, <=50K
205, Self-emp-not-inc,279802, Some-college,10, Never-married, Prof-specialty, Own-child, White, Female,0,0,3, United-States, <=50K
206, Self-emp-not-inc,184553, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, United-States, >50K
207, Private,235853, HS-grad,9, Married-civ-spouse, Sales, Husband, White, Male,0,0,45, United-States, <=50K
208, Private,190728, HS-grad,9, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
209, Private,156745, Some-college,10, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,40, United-States, <=50K
210, Private,161226, Bachelors,13, Married-civ-spouse, Machine-op-inspct, Husband, Amer-Indian-Eskimo, Male,0,0,40, United-States, <=50K
211, Private,39609, Assoc-voc,11, Divorced, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, <=50K
212, Private,96354, 11th,7, Never-married, Other-service, Own-child, White, Male,0,0,40, United-States, <=50K
213, Private,243900, HS-grad,9, Never-married, Adm-clerical, Own-child, White, Female,0,0,15, United-States, <=50K
214, Local-gov,159032, 7th-8th,4, Never-married, Farming-fishing, Own-child, White, Male,0,0,40, United-States, <=50K
215, Private,144592, Prof-school,15, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,50, United-States, >50K
216, Local-gov,184620, Masters,14, Divorced, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States, <=50K
217, Private,205359, HS-grad,9, Married-spouse-absent, Other-service, Unmarried, White, Female,0,0,25, United-States, <=50K
218, ?,145258, 11th,7, Never-married, ?, Other-relative, White, Female,0,0,25, United-States, <=50K
219, Private,27815, 9th,5, Divorced, Other-service, Not-in-family, White, Female,0,1719,30, United-States, <=50K
220, Private,338717, 11th,7, Never-married, Handlers-cleaners, Not-in-family, Other, Male,0,0,25, United-States, <=50K
221, Self-emp-not-inc,190554, 10th,6, Divorced, Exec-managerial, Own-child, White, Male,0,0,60, United-States, >50K
222, Private,187124, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, <=50K
223, Private,36201, Bachelors,13, Never-married, Sales, Not-in-family, White, Male,0,0,50, United-States, <=50K
224, Private,124993, HS-grad,9, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,43, United-States, >50K
225, Private,198286, Some-college,10, Never-married, Other-service, Not-in-family, White, Female,0,0,34, United-States, <=50K
226, Self-emp-inc,69209, Bachelors,13, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,3818,0,30, United-States, <=50K
227, Self-emp-inc,155761, Some-college,10, Married-civ-spouse, Sales, Husband, White, Male,0,0,8, United-States, <=50K
228, Self-emp-not-inc,127894, Prof-school,15, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,60, United-States, >50K
229, Private,107458, Bachelors,13, Never-married, Sales, Not-in-family, White, Male,0,0,50, United-States, <=50K
230, Private,347653, Prof-school,15, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,1977,50, United-States, >50K
231, Private,57600, Some-college,10, Married-civ-spouse, Adm-clerical, Wife, White, Female,0,0,38, United-States, <=50K
232, Private,328118, Some-college,10, Never-married, Other-service, Not-in-family, White, Female,0,0,20, United-States, <=50K
233, Private,112763, HS-grad,9, Divorced, Handlers-cleaners, Own-child, White, Female,2597,0,40, United-States, <=50K
234, Private,368570, HS-grad,9, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,50, United-States, <=50K
235, Private,61777, Some-college,10, Never-married, Sales, Not-in-family, White, Male,0,0,30, United-States, <=50K
236, Self-emp-not-inc,241998, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,5, United-States, >50K
237, ?,44793, HS-grad,9, Never-married, ?, Not-in-family, White, Male,0,0,40, United-States, <=50K
238, Private,167987, HS-grad,9, Never-married, Other-service, Own-child, White, Female,0,0,40, United-States, <=50K
239, Private,39530, HS-grad,9, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
240, Private,352971, Masters,14, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, United-States, >50K
241, Federal-gov,176904, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
242, Federal-gov,119254, HS-grad,9, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
